sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MSK10500CH_MRL0003CH_1_99	MSK10500CH	MRL0003CH	1	99	1000000	99000000
MSK10500CH_MRL0003CH_10_90	MSK10500CH	MRL0003CH	10	90	10000000	90000000
MSK10500CH_MRL0003CH_25_75	MSK10500CH	MRL0003CH	25	75	25000000	75000000
MSK10500CH_MRL0003CH_5_95	MSK10500CH	MRL0003CH	5	95	5000000	95000000
MSK10500CH_MRL0003CH_50_50	MSK10500CH	MRL0003CH	50	50	50000000	50000000
MSK10500CH_MRL0004CH_1_99	MSK10500CH	MRL0004CH	1	99	1000000	99000000
MSK10500CH_MRL0004CH_10_90	MSK10500CH	MRL0004CH	10	90	10000000	90000000
MSK10500CH_MRL0004CH_25_75	MSK10500CH	MRL0004CH	25	75	25000000	75000000
MSK10500CH_MRL0004CH_5_95	MSK10500CH	MRL0004CH	5	95	5000000	95000000
MSK10500CH_MRL0004CH_50_50	MSK10500CH	MRL0004CH	50	50	50000000	50000000
MSK10500CH_MRL0005CH_1_99	MSK10500CH	MRL0005CH	1	99	1000000	99000000
MSK10500CH_MRL0005CH_10_90	MSK10500CH	MRL0005CH	10	90	10000000	90000000
MSK10500CH_MRL0005CH_25_75	MSK10500CH	MRL0005CH	25	75	25000000	75000000
